count,allocation_time,fill_time,calculation_time
0,365,133,478
100,270433,681875,1006457
200,769842,1018430,1490353
300,282084,1102377,6370301
400,601524,2091285,13182951
500,1046551,3135141,25140896
600,1581972,4431895,43301641
700,2096372,6139186,68678441
800,2825686,8006810,100450050
900,3534434,9883463,139869256
1000,4504919,12338178,194329847
1100,5392084,14974992,263137739
1200,6448193,17758033,350709821
1300,7581006,20913445,477878843
1400,8897994,24141856,601212659
1500,10156131,27702427,773255724
1600,11655334,31255044,967881674
1700,13070521,35384663,1190339466
1800,14662877,39665286,1431932422
1900,16428668,44099130,1687328217
2000,18186681,48956962,1977430750
2100,21730301,54009477,2288905025
2200,23167649,59961189,2646700438
2300,25369287,64814894,3032959019
2400,27728623,70414270,3448561696
2500,30401344,76598205,3890873326
2600,32776504,82776772,4382399346
2700,35216321,89085578,4909904843
2800,38121793,95943590,5468524114
2900,40954887,102849408,6095173441
3000,43781172,110385125,6743609014
3100,47400734,117473036,7432131807
3200,50188949,125459882,8182647160
3300,53345671,133306647,8983524854
3400,56622572,141424109,9815098995
3500,60197413,150574495,10692362527
3600,63778670,158393963,11646782595
3700,67385230,167543601,12665492767
3800,72506193,177044999,13703977876
3900,75302201,186985077,14832979795
4000,78810803,195551608,15986880863
4100,84942835,206188495,17235471904
4200,87153729,216297606,18576560841
4300,92032959,225700969,19911584948
4400,95672039,236708717,21354723801
4500,100198515,248322389,22876991307
4600,104591024,258642313,24443339824
4700,109513841,269898380,26525248344
4800,115010429,281362020,27776164140
4900,120047958,294050345,29544778426
5000,124835062,305251292,31400688747
5100,129581750,317950060,33323393169
5200,134568448,330479209,35356863083
5300,139947292,344408283,37379068991
5400,144847888,358295258,39581053899
5500,152606836,369608894,41729572614
5600,156386891,382923211,44076211449
5700,163906067,397702112,46575067079
5800,168465870,411019479,48996394822
5900,175791154,425860758,51622602261
6000,181602155,439956575,54180813824
6100,186085764,454558838,56925762639
6200,193432417,469578701,59773717541
6300,197016983,484288460,62686568702
6400,205946885,500298517,65707974853
6500,212783121,515927180,68663718329
6600,217798926,531482768,71798840351
6700,226361015,548288469,75159602509
6800,230661747,564171917,78558091337
6900,241852714,581532259,82211971291
7000,247806680,598833498,85918659983
7100,252328587,615806474,89693120165
7200,262313572,633120090,93446959911
7300,267429686,651548704,97587632077
7400,276371639,670404580,101777512326
7500,280919944,687441068,105909827907
7600,291195965,705277991,110365137438
7700,300617097,725198006,114984561324
7800,304232037,743775491,119319166384
7900,314448419,762076239,124128675353
8000,321273197,781312236,128945533360
8100,331229100,801313327,133516699576
8200,339713749,821143616,138437373093
8300,344525904,840776747,144028522958
8400,355932886,862287940,149263462547
8500,362338869,884150626,154864685867
8600,376504026,902706346,159876914952
8700,379751163,925686390,166183613208
8800,392456359,947273001,169576972283
8900,401182668,968181603,176539288072
9000,405532110,988749094,182681436661
9100,420222232,1010999025,187669495337
9200,423196233,1033910856,194964117853
9300,437096972,1057162123,201279746421
9400,444759372,1079941464,208079984807
9500,451961896,1104378268,214837171566
9600,466282035,1125423630,220582012980
9700,470247913,1154562923,231324455872
9800,486801756,1175020904,237398709069
9900,497461160,1200869143,246300118008
10000,496271492,1220763183,252921790657
