count,allocation_time,fill_time,calculation_time
0,389,120,1150205
100,289352,696502,116107
200,806869,2195727,181961
300,338110,1424224,912287
400,757157,2539576,1535806
500,1215609,3947732,3097143
600,1770517,5674720,5116495
700,2439975,7715286,8361280
800,3280433,9843807,12065423
900,4140739,11834790,17633988
1000,5274782,14027280,30020789
1100,6516083,16832620,31812639
1200,7656495,19375784,41240574
1300,9179219,22474922,54349584
1400,10613565,25618040,71284050
1500,12207258,28890933,103224285
1600,13758908,32495878,115164013
1700,15192390,36883150,142987888
1800,17353365,57416241,220130914
1900,18543687,46645430,211095300
2000,20769072,51871908,252476435
2100,23173450,58371697,318850689
2200,25740034,62195215,344307870
2300,27136787,66404478,460690073
2400,29834225,72471496,448870549
2500,31617294,79732634,512540548
2600,34445238,84861455,589856885
2700,39328962,92878977,671280553
2800,40565207,99446172,688702890
2900,42518187,105609605,849121854
3000,45649604,113016312,944208047
3100,48666493,120453297,1119178439
3200,52822999,129451365,1232427623
3300,54893831,136130560,1234909676
3400,58473610,144685603,1407146381
3500,64038166,151864472,1534031794
3600,65194913,163298871,1669581096
3700,68823565,171174826,1812001235
3800,72495455,180863072,1956846297
3900,78811069,192299795,2104160393
4000,81542874,202338666,2342409717
4100,86641010,211935319,2527289827
4200,89986391,223065817,2629637431
4300,95909564,234547705,2822642663
4400,98802122,243333223,3026239034
4500,102144500,253522650,3331142107
4600,106680425,266999388,3554889835
4700,115449918,283339421,4474716479
4800,122247022,347006054,5348022646
4900,125278988,308351132,5253740304
5000,123372235,320591127,4919374516
5100,130104431,319703773,4753267668
5200,133300577,337064381,5791092450
5300,147564580,360011561,5892592341
5400,145699379,359101136,5175560535
5500,149405423,376353165,5387458352
5600,155703320,389695903,5692981972
5700,162116767,402726423,6055887593
5800,166939024,416860778,6732263161
5900,173820503,425208748,7247291571
6000,180499641,440576023,7347897229
6100,184488858,456101626,7584304999
6200,191503306,469283287,8504891660
6300,197865243,484388933,8033259325
6400,203498581,500468664,8377643179
6500,210634883,515973045,8778575297
6600,216157197,532204790,9498576322
6700,223211089,549171866,9597016664
6800,230067404,564477210,10089001409
6900,237366452,581013337,10669416127
7000,244168756,598902813,11083367520
7100,252483982,615383035,11490095054
7200,257946250,633409202,12040460436
7300,265491164,650817071,12636935218
7400,272231888,669396007,13064605598
7500,280488146,687622528,13695859107
7600,287675495,705694160,14150877770
7700,295560050,724208774,14971593318
7800,302085975,743501810,15620784975
7900,311206649,762122966,15855618148
8000,318840030,781286029,16741762993
8100,339974541,819693648,19128547565
8200,335530644,821846158,18445548848
8300,342368325,843754132,19084476904
8400,352424382,869253911,19524720804
8500,360836014,884548067,20660677056
8600,367800865,903367852,21491439740
8700,377005752,924852468,22249818990
8800,384043290,946046319,22698364409
8900,393224107,967459453,25105318648
9000,402723292,988573305,24257645418
9100,411819367,1010935416,25235331215
9200,419001965,1033997815,26219260738
9300,429325088,1056754037,27680028274
9400,438390559,1079116559,28678456341
9500,446898258,1105342833,30550365588
9600,458031274,1128867147,30484321107
9700,466860902,1148569978,31588655271
9800,476300769,1172631113,32790785575
9900,485666428,1198095933,33681719434
10000,495607943,1220698605,35010626641
