count,allocation_time,fill_time,calculation_time
100,106974200,116200,179700
200,373100,63100,1107300
300,406700,96100,3671100
400,393500,154900,8723000
500,785700,221900,17014400
600,1148200,304500,29514000
700,1125600,404300,46751500
800,1374600,521300,62499400
900,1152900,460800,71970400
1000,1391500,549500,100159300
1100,1517700,677300,133417600
1200,1538200,799100,171824800
1300,1716600,950000,221558500
1400,1686700,1087500,276365800
1500,1944500,1261500,340223600
1600,2070700,1438900,412068500
1700,2229800,1631500,497405500
1800,2372800,1811300,588084200
1900,2412900,2092400,696293400
2000,2787200,2308900,808506300
2100,2901700,2513900,942401600
2200,3106400,2793400,1079461600
2300,3345800,3121000,1235233500
2400,3347400,3329900,1400488400
2500,3557900,3684100,1585770100
2600,3808700,4029900,1789291500
2700,4173100,4328100,1996725300
2800,4271600,4723700,2207048900
2900,4635600,4985700,2496613000
3000,4987400,5445200,2735137600
3100,5150500,5710400,3058650400
3200,5423300,6037000,3343208700
3300,5629400,6423500,3689359000
3400,6070300,7040500,4021933300
3500,6334600,7487800,4430783000
3600,6755100,7598600,4780957500
3700,7128300,8213700,5249599200
3800,7072400,8681800,5636167400
3900,7838500,9532300,6158879100
4000,7974200,9768200,6655917100
4100,8507500,10425700,7157700800
4200,8815800,10809500,7684747800
4300,8991900,11642200,8297808100
4400,9030600,11746900,8790416300
4500,9309100,12246900,9509804800
4600,9829000,13096100,10088945600
4700,10064900,13796800,10845427400
4800,10251900,13911300,11436919100
4900,10719900,14497800,12311205700
5000,10843300,15132900,12979038000
5100,11281800,16120900,13885503000
5200,11828700,16665400,14611371900
5300,12216400,16940200,15626699600
5400,12604300,17362500,16365135400
5500,12672300,18386000,17426800500
5600,13115500,18953900,18386697700
5700,637407200,18048800,19392272600
5800,13955400,20166500,20404575300
5900,14218100,21077900,21574988700
6000,14552300,21883100,22691362400
6100,15371800,22411600,23811184600
6200,15708300,23137400,25151837400
6300,15593000,23846900,26146313600
6400,16275600,24940000,27567217000
6500,17479700,25574700,28706736300
6600,17496100,26201300,30319892000
6700,18054000,27430300,31526787500
6800,18313600,28601100,33040802800
6900,18803000,29101000,34337504400
7000,19101300,29643500,36157456600
7100,19647100,30683300,37408416800
7200,19889300,30789700,39532276000
7300,20982200,31757600,40611791700
7400,21261000,33546800,43044773200
7500,21351800,34727000,44098555000
7600,21945400,34806200,46109038000
7700,22158300,36189000,47687460300
7800,23098000,36794000,50019790800
7900,23143700,38394300,51480993800
8000,23364500,39570700,53814568200
8100,27725700,39867100,55482648200
8200,25145000,41908700,58045209800
8300,25441400,42724200,59748449900
8400,25682600,44002500,62216948900
8500,26335200,44629600,64122016200
8600,26816700,46372000,66935099100
8700,27207900,47173600,68797331000
8800,28876600,48977300,71506065100
8900,29447800,49691500,73770397500
9000,29139400,50781300,76728333600
9100,30191700,52889100,78831494500
9200,34211700,54065000,81781477500
9300,31163500,54425800,84007063100
9400,31912300,57256500,87396539400
9500,32115500,56787100,89575205700
9600,32523400,60092500,92870053100
9700,33502100,59880800,95377450100
9800,34209700,62819500,99016385100
9900,247019800,62989600,101577948700
10000,35031500,64261800,105204282600
