count,allocation_time,fill_time,calculation_time
100,104116600,120000,52800
200,383900,63000,59300
300,410900,99200,187400
400,385100,155500,337600
500,736200,218400,743000
600,1007100,303900,1098600
700,977800,406400,1969100
800,1232600,524700,3144300
900,1306300,662300,4361700
1000,1384200,817700,5198800
1100,1645600,990200,8053400
1200,1614700,1180900,8927200
1300,1928400,1392700,13251400
1400,1914400,1622400,14349800
1500,2256700,1873100,19296200
1600,2305700,2051900,24548300
1700,2578500,2333100,28319700
1800,2383100,2005200,22094200
1900,2331700,2079100,27766200
2000,2570500,2360900,29085500
2100,2911300,2659800,38690800
2200,3285800,2930500,39201300
2300,3423200,3275200,50511300
2400,3516100,3549700,60114400
2500,3524400,3761100,64885200
2600,3840300,4235500,65778100
2700,4042400,4586400,82272800
2800,4406900,4789000,80546900
2900,4900900,5390400,102784300
3000,4953300,5664600,101110300
3100,5254200,6122400,126763200
3200,5555100,6548600,143986200
3300,5652300,6597100,153145900
3400,6281300,7437700,150058600
3500,6695300,7691800,182965000
3600,6697400,8052400,174772000
3700,7198700,9057200,217595600
3800,7495800,9390500,209043200
3900,8375100,9435700,252286400
4000,7977100,10569300,280667900
4100,8514200,10371900,287758700
4200,9052400,11405900,283795900
4300,9196800,12303000,341226100
4400,9418700,12122000,322181800
4500,9607900,12783200,398144100
4600,9970200,13767100,373674400
4700,12140400,14141200,457776900
4800,10783200,15569800,490822600
4900,11114500,15249100,520013200
5000,11451200,15876000,485580200
5100,11817500,16671000,591951100
5200,12234000,17436100,533303000
5300,12305900,17474200,663212600
5400,13047500,18778100,607421400
5500,13389900,19394100,743420400
5600,13849300,19920400,779813900
5700,13383800,19991300,826462400
5800,14724600,21498900,755981900
5900,14825100,21565800,925640400
6000,15688000,22344400,823478900
6100,15559500,23363500,1017176400
6200,16404400,23885100,930822300
6300,16451800,25221700,1135007500
6400,16701000,25345800,1168258300
6500,16770100,25932600,1237812600
6600,18327200,27359700,1131300500
6700,18174100,28099300,1366656100
6800,18825500,28156400,1215617900
6900,18896100,29477500,1493269900
7000,19792500,30567600,1344701300
7100,20464300,30858600,1626553000
7200,20557600,31687700,1659812200
7300,20232900,32851700,1771026400
7400,21831400,34522200,1591270300
7500,22547700,34836400,1927708900
7600,22838000,35375500,1698454100
7700,22954300,36814200,2081398900
7800,23846300,37973400,1853530400
7900,24400200,39216400,2247672800
8000,24254300,39679400,2280481400
8100,24158400,40212500,2396781700
8200,26204300,41893200,2124407700
8300,27033500,43115500,2605955500
8400,26401000,44307900,2298901500
8500,27545300,45389400,2804707500
8600,29530100,46358800,2527545500
8700,28178600,47600500,3059306000
8800,28340000,48574100,3043459400
8900,28382300,49366600,3222425500
9000,30484900,51734400,2914824900
9100,30441700,52710800,3471848100
9200,31916000,54478100,4477559600
9300,31424700,55137900,3718423900
9400,33604500,57238100,3342254600
9500,32940700,57428000,3984521400
9600,32998500,59049300,3954857300
9700,33137300,60280200,4279867100
9800,35072300,61788400,5449094800
9900,35080900,62827700,4544451500
10000,35263500,65649600,6143129900
10100,35790700,66121300,7168659200
10200,36244100,67552400,6807713000
10300,37567200,69045100,5220762500
10400,37462500,71860500,5021895100
10500,38366700,73165000,5573705900
10600,39767100,74606800,7988271700
10700,124686800,76136700,6000266300
10800,39871500,78121400,8660593300
10900,45179300,79842400,6317493300
11000,42518200,80886600,9296156000
11100,42004600,81863900,7354397800
11200,42615000,83586400,6300431900
11300,46382200,86680900,7696143600
11400,45254100,87671100,10361701100
11500,44228300,88641800,8316801700
11600,47031600,91235300,10754115900
11700,46283900,92956400,9296709000
11800,47413900,94080900,11549398500
11900,47314000,96130500,10198840400
12000,48336100,98000500,8038960100
12100,49794400,100095500,10899253000
12200,49650000,101194400,13827617000
12300,49979700,104362200,13217014200
12400,50626200,105473400,13884708000
12500,51906800,106799700,12301603600
12600,52972700,114002900,14846397000
12700,53747900,111739500,13766027100
12800,53623100,113279600,11685520700
12900,54728300,114985800,14767429200
13000,56466700,116705100,18595671100
13100,56522700,119381100,15856786700
13200,56906700,120329200,17622611800
13300,57388400,122871100,16090161200
13400,58845400,124119400,20253420900
13500,59134400,127067300,17949088800
13600,59442600,129635000,18601060500
13700,61053800,131591900,18885847700
13800,61760600,133321300,21166469700
13900,62665100,134141200,21000451500
14000,62950300,136878200,21081898500
14100,64032900,139325600,21376747900
14200,65484200,142124400,23600780400
14300,65906900,144350800,22492407500
14400,66284800,146589000,23520096700
14500,67530300,147322700,24094664700
14600,68553400,150147400,25992474100
14700,69350000,152073000,25525197400
14800,69672600,154755700,26818156000
14900,71228100,156049800,29876575000
15000,72013200,159282300,28829077300
15100,74035400,161996100,28496336600
15200,74307700,164167400,27425657000
15300,74368900,165232700,31251082400
15400,76035100,167563100,32498587600
15500,76672300,170199700,31619444600
15600,77111800,172710400,31568162700
15700,78395400,175333200,33351129100
15800,79375800,177605800,36628476100
15900,80215800,181707200,36033401600
16000,80820400,183533400,33026093500
16100,86845400,187921800,37037741200
16200,83936800,187872000,37781790100
16300,85384500,190096700,38234754300
16400,85880600,193281300,37180357400
16500,94971300,195912300,39585497700
16600,89349100,198164100,41176162000
16700,88004100,199953200,41932748100
16800,88756000,204058600,37764747100
16900,91899700,204995900,46182894100
17000,91348900,207446200,45175558100
17100,92546500,211421600,45345909100
17200,95619700,214166800,44226654400
17300,94156000,216347800,48993716600
17400,95477800,218811000,51559116300
17500,96384500,222079400,51433793800
17600,103640800,224270200,46678410800
17700,100152100,227247300,53430075900
17800,99919000,230080200,52503252100
17900,100728400,233261400,54301561700
18000,101572100,234770400,50929541600
18100,103319800,237618200,58964484900
18200,104656600,239665800,60569688000
18300,106082200,243474400,66082144000
18400,106055700,246849800,55292830800
18500,107768800,248627300,63354259000
18600,108217300,252492800,61775352400
18700,110531800,254453800,64190222800
18800,111283400,256540100,59542457600
18900,112154700,259645900,69237732400
19000,113114000,263126900,66935460300
19100,114379900,266778400,70511301500
19200,114712400,270014300,62490885100
19300,116346800,273037200,75217538000
19400,118455800,275934000,73521908500
19500,692144000,278259800,77490945600
19600,119413800,279839900,68392564300
19700,121305300,285129400,81515268700
19800,122448900,287029300,77158595000
19900,123452300,291475200,85025599500
20000,124477700,292698900,70788833800
